,Unnamed: 0,first,second,cats,weight
1151,641,Diseases.therapeutics.complementary therapies.homeopathy,homeopathy,[34704429],1.0
1152,1010,Diseases.tissues,tissues,,0.001
1153,1231,Diseases.tissues.exocrine glands,exocrine glands,,0.001
1154,835,"Diseases.tissues.exocrine glands.pancreas, exocrine","pancreas, exocrine",[34764192],1.0
1155,1011,Diseases.tissues.muscles,muscles,,0.001
1156,1012,"Diseases.tissues.muscles.muscle, striated","muscle, striated",,0.001
1157,326,"Diseases.tissues.muscles.muscle, striated.myocardium",myocardium,[33077488],1.0
1158,898,Diseases.urogenital diseases,urogenital diseases,,0.001
1159,899,Diseases.urogenital diseases.male urogenital diseases,male urogenital diseases,,0.001
1160,774,"Diseases.urogenital diseases.male urogenital diseases.genital diseases, male","genital diseases, male",[32837913],1.0
1161,51,"Diseases.urogenital diseases.male urogenital diseases.genital diseases, male.epididymitis",epididymitis,[32467452],1.0
1162,776,"Diseases.urogenital diseases.male urogenital diseases.genital diseases, male.infertility, male","infertility, male","[33415647, 34122351, 34933532, 35606631]",4.0
1163,555,"Diseases.urogenital diseases.male urogenital diseases.genital diseases, male.infertility, male.oligospermia",oligospermia,[34994082],1.0
1164,1154,"Diseases.urogenital diseases.male urogenital diseases.genital diseases, male.penile diseases",penile diseases,,0.001
1165,673,"Diseases.urogenital diseases.male urogenital diseases.genital diseases, male.penile diseases.priapism",priapism,[34306794],1.0
1166,926,Diseases.urogenital diseases.urologic diseases,urologic diseases,,0.001
1167,204,Diseases.urogenital diseases.urologic diseases.kidney diseases,kidney diseases,"[32753052, 33135911, 33211431, 33234164, 33264669, 33277353, 33282075, 33527042, 33765681, 33767060, 34027906, 34059010, 34082792, 34151246, 34237419, 34248962, 34266783, 34271809, 34434905, 34448642, 34470828, 34471522, 34506421, 34561986, 34611512, 34846312, 34916057, 35348443, 35356906, 35373052, 35373118, 35378541, 35527119, 35600811, 35601952]",35.0
1168,962,Diseases.urogenital diseases.urologic diseases.kidney diseases.nephritis,nephritis,,0.001
1169,203,Diseases.urogenital diseases.urologic diseases.kidney diseases.nephritis.glomerulonephritis,glomerulonephritis,"[32753052, 33234164, 33610371, 33615049, 33767060, 33888348, 34027906, 34366528, 34373831, 34561986, 34670811, 35025181, 35373130]",13.0
1170,562,"Diseases.urogenital diseases.urologic diseases.kidney diseases.nephritis.glomerulonephritis.glomerulosclerosis, focal segmental","glomerulosclerosis, focal segmental",[35373130],1.0
1171,1221,Diseases.urogenital diseases.urologic diseases.kidney diseases.nephrosis,nephrosis,,0.001
1172,851,"Diseases.urogenital diseases.urologic diseases.kidney diseases.nephrosis.nephrosis, lipoid","nephrosis, lipoid",[35373130],1.0
1173,812,Diseases.urogenital diseases.urologic diseases.kidney diseases.nephrosis.nephrotic syndrome,nephrotic syndrome,[34561986],1.0
1174,181,Diseases.urogenital diseases.urologic diseases.kidney diseases.renal insufficiency,renal insufficiency,"[32728901, 33234164, 33343741, 33687179, 34055700, 34059010, 34150685, 34266783, 34324679, 34356552, 34457265, 34805497, 35032430, 35326057, 35410717, 35601952, 35609533]",17.0
1175,119,Diseases.urogenital diseases.urologic diseases.kidney diseases.renal insufficiency.acute kidney injury,acute kidney injury,"[32651579, 32753052, 32826642, 32875970, 32993540, 33003102, 33135911, 33211431, 33251482, 33343741, 33515574, 33521655, 33579813, 33610371, 33765681, 33767060, 33984076, 33984083, 34027906, 34059010, 34105843, 34124694, 34150685, 34151246, 34204362, 34278995, 34307971, 34367704, 34370958, 34373831, 34418963, 34433686, 34434905, 34448642, 34471522, 34561986, 34779390, 34846312, 34918990, 35032430, 35077615, 35356906, 35378541]",43.0
1176,205,"Diseases.urogenital diseases.urologic diseases.kidney diseases.renal insufficiency.acute kidney injury.kidney tubular necrosis, acute","kidney tubular necrosis, acute","[32753052, 33234164, 34027906, 34266783, 34373831]",5.0
1177,1082,Diseases.urogenital diseases.urologic diseases.urinary bladder diseases,urinary bladder diseases,,0.001
1178,544,Diseases.urogenital diseases.urologic diseases.urinary bladder diseases.cystitis,cystitis,[34743438],1.0
